N°DPE,Date_établissement_DPE,Etiquette_DPE,Etiquette_GES,Surface_habitable_logement,Type_bâtiment,Année_construction,Adresse_(BAN),Code_postal_(BAN),Code_INSEE_(BAN),Identifiant__BAN,Score_BAN,Conso_5_usages_par_m²_é_primaire,Emission_GES_5_usages_par_m²,Coordonnée_cartographique_X_(BAN),Coordonnée_cartographique_Y_(BAN),id_parcelle_rapprochee
2324E0000847,2025-01-24,E,E,94.0,maison,2011,87 RUE GAMBETTA 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_8500_00087,0.95,297.1,22.71,0.557,45.087,24016000Z0959
2333E0000727,2024-06-04,F,C,96.0,maison,1890,88 RUE SAINTE CATHERINE 33000 BORDEAUX,33000,33063,33063_4619_00088,0.95,408.0,16.1,-0.5792,44.8378,33063000Z0741
2333E0000128,2023-03-05,E,F,60.0,appartement,1994,80 IMPASSE DES VIGNES 33000 BORDEAUX,33000,33063,33063_2469_00080,0.92,273.1,14.05,-0.5792,44.8378,33063000A0023
2324E0000290,2022-04-09,D,E,32.0,appartement,1994,134 PLACE COLBERT 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_9120_00134,0.92,215.4,19.09,0.557,45.087,24016000B0821
2317E0000788,2023-06-04,G,D,43.0,appartement,1983,146 IMPASSE DES VIGNES 17300 ROCHEFORT,17300,17300,17300_6806_00146,0.98,460.2,39.05,-0.9628,45.9414,17300000B0927
2333E0000259,2023-08-31,G,G,140.0,maison,1930,119 RUE SAINTE CATHERINE 33000 BORDEAUX,33000,33063,33063_2220_00119,0.92,486.5,23.64,-0.5792,44.8378,33063000Z0827
2317E0000786,2023-03-19,D,C,141.0,maison,2011,19 RUE DU PALAIS 17300 ROCHEFORT,17300,17300,17300_6132_00019,0.71,190.5,7.32,-0.9628,45.9414,17300000D0934
2324E0000708,2023-08-12,D,D,70.0,appartement,1962,103 COURS DE L ARGONNE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_1686_00103,0.98,217.3,10.33,0.557,45.087,24016000A0380
2317E0000175,2021-11-20,C,B,87.0,maison,1975,49 PLACE COLBERT 17300 ROCHEFORT,17300,17300,17300_5426_00049,0.92,159.7,13.7,-0.9628,45.9414,17300000B0683
2324E0000508,2022-08-09,C,D,258.6,maison,1890,149 PLACE COLBERT 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_8410_00149,0.71,129.2,8.55,0.557,45.087,24016000Z0739
2333E0000218,2024-08-12,C,C,159.0,maison,2011,151 COURS DE L ARGONNE 33000 BORDEAUX,33000,33063,33063_1879_00151,0.92,153.4,8.64,-0.5792,44.8378,33063000E0500
2317E0000850,2022-05-25,C,G,88.0,appartement,1890,14 ROUTE DE PERIGUEUX 17300 ROCHEFORT,17300,17300,17300_5034_00014,0.92,158.9,5.93,-0.9628,45.9414,17300000E0730
,2023-01-13,D,G,33.0,appartement,2011,23 RUE SAINTE CATHERINE 17300 ROCHEFORT,17300,17300,17300_3696_00023,0.95,211.4,13.57,-0.9628,45.9414,17300000D0409
2324E0000391,2022-11-11,D,D,42.0,appartement,1983,28 ROUTE DE PERIGUEUX 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_5082_00028,0.88,170.8,4.14,0.557,45.087,24016000A0848
2324E0000226,2021-08-11,E,F,50.0,appartement,2003,57 RUE SAINTE CATHERINE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_7223_00057,0.95,247.6,10.72,0.557,45.087,24016000Z0033
2317E0000109,2023-09-26,F,G,89.0,appartement,2003,180 IMPASSE DES VIGNES 17300 ROCHEFORT,17300,17300,17300_3300_00180,0.88,406.8,14.83,-0.9628,45.9414,17300000D0108
2317E0000342,2023-03-20,C,E,67.0,appartement,2003,67 PLACE COLBERT 17300 ROCHEFORT,17300,17300,17300_2680_00067,0.95,146.8,13.1,-0.9628,45.9414,17300000E0841
2324E0000798,2023-03-10,D,G,95.0,appartement,2003,70 PLACE COLBERT 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_7428_00070,0.88,207.1,17.69,0.557,45.087,24016000E0896
2333E0000557,2021-08-25,E,E,84.0,maison,2011,44 IMPASSE DES VIGNES 33000 BORDEAUX,33000,33063,33063_1951_00044,0.92,300.3,11.32,-0.5792,44.8378,33063000Z0837
2317E0000049,2024-04-02,G,F,76.0,appartement,1983,175 AVENUE THIERS 17300 ROCHEFORT,17300,17300,17300_6209_00175,0.98,398.8,14.99,-0.9628,45.9414,17300000C0932
2333E0000282,2022-09-21,B,E,,appartement,1962,107 ALLEE DES CHENES 33000 BORDEAUX,33000,33063,33063_1619_00107,0.95,77.9,1.61,-0.5792,44.8378,33063000A0855
,2024-10-17,C,D,88.0,appartement,1890,97 AVENUE THIERS 17300 ROCHEFORT,17300,17300,17300_5413_00097,0.88,124.6,9.19,-0.9628,45.9414,17300000Z0543
2317E0000688,2022-11-09,G,F,47.9,appartement,1890,86 ROUTE DE PERIGUEUX 17300 ROCHEFORT,17300,17300,17300_1637_00086,0.92,408.8,8.98,-0.9628,45.9414,17300000Z0949
COR-DT3,,D,F,137.0,maison,1994,115 RUE SAINTE CATHERINE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_1479_00115,0.95,219.5,6.29,0.557,45.087,24016000C0983
2324E0000744,2023-04-01,C,E,79.0,appartement,1930,135 ALLEE DES CHENES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_9686_00135,0.92,139.4,3.14,0.557,45.087,24016000Z0430
2333E0000715,2023-02-23,F,C,45.0,appartement,1962,173 RUE SAINTE CATHERINE 33000 BORDEAUX,33000,33063,33063_3373_00173,0.92,320.6,13.65,-0.5792,44.8378,33063000Z0788
2333E0000861,2023-05-18,D,E,88.0,appartement,1962,47 ROUTE DE PERIGUEUX 33000 BORDEAUX,33000,33063,33063_4091_00047,0.95,198.3,4.92,-0.5792,44.8378,33063000C0467
2317E0000030,2022-04-17,B,D,132.0,maison,2003,97 ROUTE DE PERIGUEUX 17300 ROCHEFORT,17300,17300,17300_7585_00097,0.95,102.5,5.28,-0.9628,45.9414,17300000B0668
2333E0000277,2023-10-08,D,A,49.0,appartement,2019,74 ALLEE DES CHENES 33000 BORDEAUX,33000,33063,33063_8964_00074,0.95,188.5,4.43,-0.5792,44.8378,33063000Z0833
2333E0000878,2024-01-02,B,C,29.0,appartement,1930,68 COURS DE L ARGONNE 33000 BORDEAUX,33000,33063,33063_5621_00068,0.98,77.7,6.56,-0.5792,44.8378,33063000C0935
2324E0000299,2023-10-22,B,E,70.0,maison,1930,106 RUE DU PALAIS 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_9688_00106,0.71,102.5,2.49,0.557,45.087,24016000C0368
2333E0000898,2021-09-04,F,B,40.0,appartement,1975,93 AVENUE THIERS 33000 BORDEAUX,33000,33063,33063_3746_00093,0.98,404.2,24.38,-0.5792,44.8378,33063000E0485
2324E0000011,2022-11-15,C,D,144.7,appartement,1983,130 ROUTE DE PERIGUEUX 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_1025_00130,0.98,158.5,13.0,0.557,45.087,24016000Z0125
2324E0000248,2022-01-08,F,B,54.0,appartement,1890,104 ROUTE DE PERIGUEUX 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_3358_00104,0.95,364.2,15.04,0.557,45.087,24016000D0998
2333E0000818,2021-11-10,D,F,115.0,maison,1930,6 ROUTE DE PERIGUEUX 33000 BORDEAUX,33000,33063,33063_4845_00006,0.88,201.3,9.77,-0.5792,44.8378,33063000C0123
2324E0000178,2021-08-05,D,C,79.0,appartement,1930,164 RUE GAMBETTA 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_3614_00164,0.98,224.0,10.13,0.557,45.087,24016000E0702
2324E0000529,2023-12-12,D,D,44.0,appartement,2011,69 ALLEE DES CHENES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_3807_00069,0.55,188.3,4.45,0.557,45.087,24016000E0394
2333E0000574,2023-12-11,F,A,28.0,maison,1890,5 AVENUE THIERS 33000 BORDEAUX,33000,33063,33063_8825_00005,0.88,405.5,23.82,-0.5792,44.8378,33063000B0507
2324E0000696,2023-01-11,D,E,77.0,appartement,2011,119 RUE SAINTE CATHERINE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_9774_00119,0.92,205.8,16.42,0.557,45.087,24016000A0115
2317E0000630,2022-09-22,D,C,157.8,maison,1975,151 IMPASSE DES VIGNES 17300 ROCHEFORT,17300,17300,17300_9849_00151,0.92,220.2,8.64,-0.9628,45.9414,17300000B0538
2333E0000631,2023-06-17,F,B,79.0,appartement,,131 PLACE COLBERT 33000 BORDEAUX,33000,33063,33063_9095_00131,0.88,399.0,21.42,-0.5792,44.8378,33063000A0297
2324E0000307,2022-12-01,F,D,192.0,maison,1983,89 ALLEE DES CHENES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_3750_00089,0.92,345.2,26.36,0.557,45.087,24016000Z0619
2317E0000828,2023-07-02,G,D,96.0,maison,1890,111 ROUTE DE PERIGUEUX 17300 ROCHEFORT,17300,17300,17300_3702_00111,0.95,486.4,27.27,-0.9628,45.9414,17300000B0699
2333E0000778,2022-09-02,E,E,63.0,appartement,2019,129 COURS DE L ARGONNE 33000 BORDEAUX,33000,33063,33063_4121_00129,0.71,310.5,15.4,-0.5792,44.8378,33063000Z0712
2324E0000285,2022-02-17,D,E,50.0,appartement,1930,23 AVENUE THIERS 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_8432_00023,0.95,209.4,7.87,0.557,45.087,24016000C0417
2333E0000663,2024-02-11,C,D,81.0,appartement,1890,69 RUE GAMBETTA 33000 BORDEAUX,33000,33063,33063_7593_00069,0.92,138.8,10.6,-0.5792,44.8378,33063000A0727
2324E0000165,2022-10-29,D,D,196.4,maison,1890,106 PLACE COLBERT 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_2819_00106,0.88,191.5,9.35,0.557,45.087,24016000D0206
2333E0000170,2023-06-27,C,D,165.0,maison,1962,19 RUE GAMBETTA 33000 BORDEAUX,33000,33063,33063_9939_00019,0.92,159.8,4.47,-0.5792,44.8378,33063000E0438
2333E0000559,2022-09-02,C,F,73.0,appartement,1930,13 AVENUE THIERS 33000 BORDEAUX,33000,33063,33063_5868_00013,0.71,155.6,3.31,-0.5792,44.8378,33063000D0120
2333E0000179,2023-12-25,D,D,208.0,maison,1994,172 COURS DE L ARGONNE 33000 BORDEAUX,33000,33063,33063_8771_00172,0.55,178.5,6.05,-0.5792,44.8378,33063000C0779
2317E0000047,2022-10-13,C,D,44.0,appartement,1983,153 ALLEE DES CHENES 17300 ROCHEFORT,17300,17300,17300_7868_00153,0.71,149.6,7.16,-0.9628,45.9414,17300000A0661
2333E0000872,2023-05-05,F,E,38.0,appartement,1930,159 COURS DE L ARGONNE 33000 BORDEAUX,33000,33063,33063_9352_00159,0.92,323.7,15.01,-0.5792,44.8378,33063000D0187
2333E0000602,2021-06-02,E,D,,maison,2003,160 RUE GAMBETTA 33000 BORDEAUX,33000,33063,33063_9976_00160,0.98,295.5,6.49,-0.5792,44.8378,33063000D0738
2324E0000130,2023-01-11,D,C,113.0,maison,2003,135 COURS DE L ARGONNE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_9069_00135,0.98,208.7,12.78,0.557,45.087,24016000D0985
2317E0000523,2021-12-26,F,B,68.0,appartement,2011,65 RUE DU PALAIS 17300 ROCHEFORT,17300,17300,17300_2142_00065,0.88,362.9,32.5,-0.9628,45.9414,17300000E0598
COR-ET1,2023-05-18,N,F,339.1,maison,1962,78 RUE GAMBETTA 17300 ROCHEFORT,17300,17300,17300_3396_00078,0.88,329.5,21.36,-0.9628,45.9414,17300000E0829
2324E0000886,2021-08-19,D,B,200.0,maison,2011,71 PLACE COLBERT 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_2207_00071,0.95,170.8,7.27,0.557,45.087,24016000D0836
2317E0000543,2022-04-21,D,D,65.0,appartement,1994,94 RUE GAMBETTA 17300 ROCHEFORT,17300,17300,17300_3679_00094,0.98,193.3,5.56,-0.9628,45.9414,17300000E0418
2324E0000880,2024-08-27,D,E,202.0,maison,1983,162 RUE SAINTE CATHERINE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_1353_00162,0.95,214.6,11.22,0.557,45.087,24016000Z0344
2324E0000693,2023-06-15,E,C,118.0,maison,2003,161 COURS DE L ARGONNE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_7108_00161,0.71,298.4,22.77,0.557,45.087,24016000A0624
2324E0000176,2023-12-27,D,E,76.0,appartement,2011,177 RUE SAINTE CATHERINE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_6056_00177,0.95,203.5,7.97,0.557,45.087,24016000A0540
2333E0000183,2022-12-29,E,E,,appartement,1994,133 IMPASSE DES VIGNES 33000 BORDEAUX,33000,33063,33063_3334_00133,0.98,291.2,9.63,-0.5792,44.8378,33063000D0573
2333E0000597,2021-10-21,D,C,104.0,appartement,2011,109 PLACE COLBERT 33000 BORDEAUX,33000,33063,33063_8867_00109,0.71,172.9,14.4,-0.5792,44.8378,33063000E0287
2333E0000084,2022-05-24,F,D,93.0,appartement,2011,75 RUE GAMBETTA 33000 BORDEAUX,33000,33063,33063_4849_00075,0.88,309.8,13.66,-0.5792,44.8378,33063000B0947
2333E0000621,2022-09-12,G,D,77.0,maison,1930,40 ALLEE DES CHENES 33000 BORDEAUX,33000,33063,33063_9576_00040,0.92,422.3,33.1,-0.5792,44.8378,33063000A0933
COR-DT2,0001-01-01x,D,D,83.0,appartement,1962,179 ROUTE DE PERIGUEUX 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_1626_00179,0.95,195.8,5.02,0.557,45.087,24016000B0267
2333E0000894,2022-04-16,D,E,70.0,appartement,,48 RUE GAMBETTA 33000 BORDEAUX,33000,33063,33063_6863_00048,0.71,227.2,12.12,-0.5792,44.8378,33063000A0043
2317E0000042,2020-12-21,C,F,,maison,1962,108 PLACE COLBERT 17300 ROCHEFORT,17300,17300,17300_6080_00108,0.92,132.3,9.4,-0.9628,45.9414,17300000E0890
2333E0000274,2022-08-27,A,C,178.0,maison,2019,45 ROUTE DE PERIGUEUX 33000 BORDEAUX,33000,33063,33063_4656_00045,0.88,63.8,2.95,-0.5792,44.8378,33063000E0172
2333E0000562,2022-11-17,E,E,58.0,appartement,1983,48 COURS DE L ARGONNE 33000 BORDEAUX,33000,33063,33063_7694_00048,0.98,291.1,14.21,-0.5792,44.8378,33063000B0642
2317E0000261,2023-01-12,G,E,95.0,maison,2011,54 IMPASSE DES VIGNES 17300 ROCHEFORT,17300,17300,17300_7430_00054,0.98,496.2,14.56,-0.9628,45.9414,17300000B0914
2333E0000679,2023-10-12,G,B,148.0,maison,2019,126 RUE GAMBETTA 33000 BORDEAUX,33000,33063,33063_3683_00126,0.92,491.1,27.56,-0.5792,44.8378,33063000E0710
2333E0000588,2021-11-04,F,D,200.0,maison,2003,141 RUE DU PALAIS 33000 BORDEAUX,33000,33063,33063_5450_00141,0.98,401.4,35.96,-0.5792,44.8378,33063000A0139
2317E0000361,2023-03-02,D,D,50.0,appartement,1930,81 PLACE COLBERT 17300 ROCHEFORT,17300,17300,17300_4721_00081,0.98,187.0,12.72,-0.9628,45.9414,17300000D0652
2333E0000767,2023-10-06,G,D,197.0,maison,,42 AVENUE THIERS 33000 BORDEAUX,33000,33063,33063_3314_00042,0.92,501.8,31.25,-0.5792,44.8378,33063000Z0477
2317E0000317,2024-07-12,E,E,195.0,maison,2011,115 COURS DE L ARGONNE 17300 ROCHEFORT,17300,17300,17300_8760_00115,0.95,255.7,14.28,-0.9628,45.9414,17300000D0900
2317E0000063,2023-01-25,B,D,36.0,appartement,,120 RUE SAINTE CATHERINE 17300 ROCHEFORT,17300,17300,17300_8244_00120,0.98,88.3,6.36,-0.9628,45.9414,17300000B0790
COR-ET3,2023-07-07,-,E,105.2,appartement,1994,28 RUE DU PALAIS 33000 BORDEAUX,33000,33063,33063_5992_00028,0.92,371.2,9.86,-0.5792,44.8378,33063000D0029
2324E0000098,2022-05-29,F,E,58.0,appartement,2011,132 COURS DE L ARGONNE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_6498_00132,0.92,377.1,10.92,0.557,45.087,24016000Z0536
2317E0000134,2023-12-11,G,D,40.0,appartement,1983,95 AVENUE THIERS 17300 ROCHEFORT,17300,17300,17300_4147_00095,0.95,454.9,33.31,-0.9628,45.9414,17300000C0807
2324E0000052,2022-05-17,G,G,95.0,maison,2019,36 RUE DU PALAIS 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_2757_00036,0.98,422.3,16.47,0.557,45.087,24016000D0575
2317E0000511,2023-10-30,F,F,106.0,maison,2011,174 ALLEE DES CHENES 17300 ROCHEFORT,17300,17300,17300_1136_00174,0.88,341.2,13.46,-0.9628,45.9414,17300000E0420
2317E0000644,2023-08-26,F,C,103.0,maison,1930,131 ROUTE DE PERIGUEUX 17300 ROCHEFORT,17300,17300,17300_8410_00131,0.88,363.2,13.89,-0.9628,45.9414,17300000D0154
2333E0000363,2022-04-17,D,E,144.0,maison,,65 RUE SAINTE CATHERINE 33000 BORDEAUX,33000,33063,33063_9126_00065,0.55,216.9,16.06,-0.5792,44.8378,33063000C0945
2333E0000805,2024-01-27,F,B,72.0,appartement,2011,174 ROUTE DE PERIGUEUX 33000 BORDEAUX,33000,33063,33063_7165_00174,0.92,326.1,16.69,-0.5792,44.8378,33063000B0842
2324E0000275,2025-06-26,D,D,,appartement,1975,6 COURS DE L ARGONNE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_1763_00006,0.92,181.1,6.72,0.557,45.087,24016000D0163
2333E0000271,2022-12-08,C,B,165.0,maison,2011,36 ROUTE DE PERIGUEUX 33000 BORDEAUX,33000,33063,33063_7897_00036,0.95,129.5,10.16,-0.5792,44.8378,33063000E0258
2333E0000155,2023-03-05,D,F,85.0,appartement,2019,90 RUE DU PALAIS 33000 BORDEAUX,33000,33063,33063_6188_00090,0.98,170.1,11.34,-0.5792,44.8378,33063000A0046
2324E0000219,2025-04-03,E,F,79.0,appartement,2003,93 ALLEE DES CHENES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_6063_00093,0.88,275.1,7.89,0.557,45.087,24016000Z0530
2324E0000681,2023-09-06,D,F,35.0,appartement,1890,138 AVENUE THIERS 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_3484_00138,0.95,214.1,18.11,0.557,45.087,24016000D0990
2324E0000056,2022-03-07,D,E,,maison,1930,173 ALLEE DES CHENES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_8889_00173,0.88,214.5,7.07,0.557,45.087,24016000E0446
2333E0000594,2022-11-30,G,D,48.0,appartement,1983,96 PLACE COLBERT 33000 BORDEAUX,33000,33063,33063_2968_00096,0.88,442.7,27.07,-0.5792,44.8378,33063000B0547
2324E0000405,2023-05-02,C,D,102.4,appartement,1930,86 IMPASSE DES VIGNES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_8167_00086,0.95,140.2,4.0,0.557,45.087,24016000A0404
2324E0000720,2022-12-11,A,E,99.0,maison,2003,83 ROUTE DE PERIGUEUX 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_1886_00083,0.92,51.9,1.88,0.557,45.087,24016000B0428
2324E0000829,2021-11-04,E,F,164.0,maison,,153 ALLEE DES CHENES 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_2217_00153,0.95,242.4,7.42,0.557,45.087,24016000B0367
2317E0000002,2022-04-07,E,D,66.0,appartement,2011,139 COURS DE L ARGONNE 17300 ROCHEFORT,17300,17300,17300_3431_00139,0.92,288.7,20.88,-0.9628,45.9414,17300000C0995
2333E0000255,2021-08-05,C,G,95.0,maison,1962,150 RUE DU PALAIS 33000 BORDEAUX,33000,33063,33063_1850_00150,0.98,134.3,7.09,-0.5792,44.8378,33063000Z0132
2333E0000888,2022-10-21,G,B,154.0,maison,1983,78 IMPASSE DES VIGNES 33000 BORDEAUX,33000,33063,33063_3336_00078,0.88,493.8,34.69,-0.5792,44.8378,33063000D0529
2317E0000569,2023-12-04,D,G,205.0,maison,1994,142 AVENUE THIERS 17300 ROCHEFORT,17300,17300,17300_6254_00142,0.92,193.3,12.56,-0.9628,45.9414,17300000B0211
2324E0000293,2022-11-26,D,A,41.0,appartement,1930,161 ROUTE DE PERIGUEUX 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_5027_00161,0.92,209.5,7.45,0.557,45.087,24016000E0688
2324E0000515,2022-01-15,D,F,114.0,maison,1994,46 ROUTE DE PERIGUEUX 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_8872_00046,0.88,216.1,16.07,0.557,45.087,24016000D0469
2333E0000234,2024-01-07,D,E,38.0,appartement,1975,174 RUE GAMBETTA 33000 BORDEAUX,33000,33063,33063_7782_00174,0.92,197.0,13.29,-0.5792,44.8378,33063000Z0823
2324E0000005,2024-03-16,F,E,128.9,maison,,88 AVENUE THIERS 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_5334_00088,0.95,334.1,24.8,0.557,45.087,24016000D0831
2317E0000593,2024-04-10,C,E,74.0,appartement,2003,15 IMPASSE DES VIGNES 17300 ROCHEFORT,17300,17300,17300_2479_00015,0.71,138.0,3.89,-0.9628,45.9414,17300000Z0354
2333E0000193,2022-06-22,F,C,63.0,appartement,2011,118 RUE SAINTE CATHERINE 33000 BORDEAUX,33000,33063,33063_8793_00118,0.71,358.6,21.16,-0.5792,44.8378,33063000E0658
2333E0000220,2022-11-24,C,B,87.0,appartement,1930,69 RUE SAINTE CATHERINE 33000 BORDEAUX,33000,33063,33063_3969_00069,0.55,149.8,3.13,-0.5792,44.8378,33063000C0822
2333E0000899,2022-04-02,D,C,58.0,appartement,1890,133 RUE DU PALAIS 33000 BORDEAUX,33000,33063,33063_5783_00133,0.92,205.0,11.19,-0.5792,44.8378,33063000Z0701
2317E0000394,2025-03-31,D,G,161.0,maison,1890,60 ROUTE DE PERIGUEUX 17300 ROCHEFORT,17300,17300,17300_1500_00060,0.98,219.6,13.34,-0.9628,45.9414,17300000B0426
2333E0000796,2024-08-18,F,D,93.0,appartement,1994,5 RUE DU PALAIS 33000 BORDEAUX,33000,33063,33063_1854_00005,0.98,311.3,10.16,-0.5792,44.8378,33063000C0965
2317E0000059,2023-08-30,E,C,86.0,maison,1930,76 IMPASSE DES VIGNES 17300 ROCHEFORT,17300,17300,17300_7613_00076,0.71,270.5,14.97,-0.9628,45.9414,17300000A0903
2333E0000684,2023-06-19,D,F,128.8,appartement,2019,157 RUE GAMBETTA 33000 BORDEAUX,33000,33063,33063_5976_00157,0.98,211.5,7.75,-0.5792,44.8378,33063000D0479
2333E0000874,2021-06-08,D,F,120.0,appartement,1930,90 AVENUE THIERS 33000 BORDEAUX,33000,33063,33063_3920_00090,0.88,213.0,8.97,-0.5792,44.8378,33063000A0978
2317E0000673,2024-02-07,E,E,54.0,appartement,1994,75 PLACE COLBERT 17300 ROCHEFORT,17300,17300,17300_2915_00075,0.88,316.8,20.68,-0.9628,45.9414,17300000Z0814
2317E0000869,2022-10-02,E,F,45.0,appartement,2003,17 AVENUE THIERS 17300 ROCHEFORT,17300,17300,17300_8821_00017,0.92,315.0,7.75,-0.9628,45.9414,17300000A0200
2324E0000677,2023-06-13,D,E,88.0,maison,2003,105 COURS DE L ARGONNE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_8241_00105,0.98,189.3,7.03,0.557,45.087,24016000A0075
2317E0000627,2021-04-16,D,G,202.0,maison,1994,59 RUE SAINTE CATHERINE 17300 ROCHEFORT,17300,17300,17300_9999_00059,0.98,209.4,17.75,-0.9628,45.9414,17300000A0392
2324E0000667,2024-04-16,A,F,113.0,maison,2011,75 RUE GAMBETTA 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_3027_00075,0.88,58.2,2.29,0.557,45.087,24016000Z0969
2333E0000126,2023-01-30,D,C,256.6,maison,2003,111 IMPASSE DES VIGNES 33000 BORDEAUX,33000,33063,33063_5029_00111,0.71,181.8,10.14,-0.5792,44.8378,33063000D0607
2317E0000840,2023-08-18,E,E,155.0,maison,2019,138 ROUTE DE PERIGUEUX 17300 ROCHEFORT,17300,17300,17300_3960_00138,0.95,249.8,13.19,-0.9628,45.9414,17300000C0383
2324E0000838,2023-04-09,E,D,76.0,appartement,2019,63 PLACE COLBERT 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_9597_00063,0.95,283.6,10.7,0.557,45.087,24016000C0046
2317E0000754,2023-09-13,F,D,117.0,maison,1962,105 RUE DU PALAIS 17300 ROCHEFORT,17300,17300,17300_7477_00105,0.95,341.6,11.52,-0.9628,45.9414,17300000E0136
2317E0000575,2023-08-13,D,D,123.0,maison,1930,137 ROUTE DE PERIGUEUX 17300 ROCHEFORT,17300,17300,17300_6607_00137,0.98,197.4,14.25,-0.9628,45.9414,17300000C0340
2317E0000768,2023-01-13,D,G,33.0,appartement,2011,23 RUE SAINTE CATHERINE 17300 ROCHEFORT,17300,17300,17300_3696_00023,0.95,211.4,13.57,-0.9628,45.9414,17300000D0409
2333E0000471,2023-06-02,C,E,85.0,appartement,2019,12 ALLEE DES CHENES 33000 BORDEAUX,33000,33063,33063_6229_00012,0.71,129.5,6.25,-0.5792,44.8378,33063000A0504
2333E0000426,2025-01-02,E,D,202.0,maison,1890,141 AVENUE THIERS 33000 BORDEAUX,33000,33063,33063_8823_00141,0.92,291.4,10.05,-0.5792,44.8378,33063000Z0539
2333E0000624,2022-05-01,D,D,79.0,maison,2011,152 RUE DU PALAIS 33000 BORDEAUX,33000,33063,33063_9812_00152,0.95,207.4,13.47,-0.5792,44.8378,33063000D0568
2324E0000789,2024-07-30,D,F,42.0,appartement,1983,90 RUE SAINTE CATHERINE 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_8398_00090,0.95,213.2,4.84,0.557,45.087,24016000A0496
2333E0000432,2022-11-04,A,F,42.0,appartement,1983,76 ALLEE DES CHENES 33000 BORDEAUX,33000,33063,33063_3877_00076,0.88,68.7,5.65,-0.5792,44.8378,33063000A0536
2324E0000051,2023-01-21,D,G,86.0,appartement,2003,175 AVENUE THIERS 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_6127_00175,0.98,223.9,18.16,0.557,45.087,24016000E0737
2317E0000337,2022-09-23,G,E,71.0,appartement,2003,122 RUE SAINTE CATHERINE 17300 ROCHEFORT,17300,17300,17300_1545_00122,0.98,452.0,29.1,-0.9628,45.9414,17300000Z0718
2324E0000100,2021-12-21,F,F,74.0,appartement,1930,76 RUE DU PALAIS 24430 ANNESSE-ET-BEAULIEU,24430,24016,24016_2906_00076,0.98,402.8,9.24,0.557,45.087,24016000D0710
2333E0000670,2022-06-07,E,F,88.0,appartement,2003,76 ALLEE DES CHENES 33000 BORDEAUX,33000,33063,33063_2213_00076,0.92,241.2,9.8,-0.5792,44.8378,33063000B0791
2333E0000013,2023-10-07,E,B,41.0,appartement,1975,31 ALLEE DES CHENES 33000 BORDEAUX,33000,33063,33063_1863_00031,0.92,292.5,12.17,-0.5792,44.8378,33063000Z0084
2317E0000430,2024-02-24,D,E,180.0,maison,,134 AVENUE THIERS 17300 ROCHEFORT,17300,17300,17300_4028_00134,0.95,196.4,15.92,-0.9628,45.9414,17300000D0118
2333E0000377,2023-11-24,F,F,44.0,appartement,1890,164 ALLEE DES CHENES 33000 BORDEAUX,33000,33063,33063_9191_00164,0.95,385.1,16.22,-0.5792,44.8378,33063000C0477
