id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
2023-100815,2024-09-09,1,Vente,96264.26,103,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000B0413,0,2,Appartement,53,2,,-0.949368,45.935739
2023-100608,2025-05-17,1,Vente,144379.79,59,,RUE GAMBETTA,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000D0594,0,2,Appartement,88,3,,0.549369,45.052631
2023-100007,2025-01-24,1,Vente,129887.72,21,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000C0432,0,2,Appartement,56,2,,-0.943692,45.977382
2023-100019,2024-06-27,1,Vente,881932.33,25,,AVENUE THIERS,33000,33063,BORDEAUX,33,33063000E0004,0,1,Maison,186,7,1957,-0.590399,44.84665
2023-COR-S4,2025-04-05,1,Vente,267446.88,137,,ROUTE DE PERIGUEUX,17300,17300,ROCHEFORT,17,17300000C0340,0,1,Maison,-12,4,1520,-0.953878,45.950304
2023-100239,2025-04-02,1,Vente,138561.72,63,,RUE SAINTE CATHERINE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000A0914,2,1,Maison,101,5,601,0.588441,45.067936
2023-100451,2023-12-30,1,Vente,1213733.37,9,,IMPASSE DES VIGNES,33000,33063,BORDEAUX,33,33063000Z0080,0,1,Maison,200,6,1936,-0.605647,44.871325
2023-100275,2024-09-19,1,Vente,166947.11,6,,COURS DE L ARGONNE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000D0163,1,2,Appartement,80,3,,0.553397,45.119701
2023-COR-T18,2024-01-01,1,Vente,76023.41,58,,COURS DE L ARGONNE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000D0234,0,3,Local industriel. commercial ou assimile,40,2,,0.530469,45.100478
2023-100788,2024-05-25,1,Vente,78758.56,146,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000B0927,1,2,Appartement,43,2,,-0.953849,45.956368
2023-100453,2024-03-06,2,Vente,487179.02,157,,PLACE COLBERT,33000,33063,BORDEAUX,33,33063000Z0585,2,2,Appartement,91,3,,-0.562867,44.835945
2023-100496,2024-02-02,1,Vente,86055.28,15,,ROUTE DE PERIGUEUX,17300,17300,ROCHEFORT,17,17300000D0875,2,2,Appartement,32,1,,-0.935536,45.969544
2023-COR-V0,2023-08-29,1,Vente,,38,,COURS DE L ARGONNE,17300,17300,ROCHEFORT,17,17300000A0984,2,1,Maison,129,4,387,-0.977639,45.906526
2023-100860,2024-09-13,1,Vente,691000.78,92,,RUE GAMBETTA,33000,33063,BORDEAUX,33,33063000C0915,0,1,Maison,139,6,1351,-0.610273,44.837511
2023-100170,2025-05-24,1,Vente,721923.73,19,,RUE GAMBETTA,33000,33063,BORDEAUX,33,33063000E0438,0,1,Maison,165,8,1540,-0.531718,44.846622
2023-100273,2024-07-29,1,Vente,102998.05,158,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000D0897,1,2,Appartement,36,1,,-0.961868,45.96625
2023-100361,2024-02-27,1,Vente,107903.45,81,,PLACE COLBERT,17300,17300,ROCHEFORT,17,17300000D0652,1,2,Appartement,50,2,,-0.973504,45.941294
2023-100099,2023-08-04,1,Vente,877515.6,125,,PLACE COLBERT,33000,33063,BORDEAUX,33,33063000E0636,0,1,Maison,155,5,431,-0.533625,44.850833
2023-COR-T16,2025-01-14,1,Vente,71406.5,90,,RUE SAINTE CATHERINE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000A0496,0,4,Local industriel. commercial ou assimile,42,2,,0.542088,45.122721
2023-100470,2025-01-21,1,Vente,448632.21,125,,RUE DU PALAIS,17300,17300,ROCHEFORT,17,17300000Z0719,1,1,Maison,209,8,1585,-0.924854,45.942217
2023-100080,2024-02-12,1,Vente,747066.23,116,,RUE SAINTE CATHERINE,33000,33063,BORDEAUX,33,33063000B0431,0,1,Maison,187,6,1094,-0.562972,44.860302
2023-100492,2024-02-14,1,Vente,254193.15,53,,ROUTE DE PERIGUEUX,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000D0148,0,1,Maison,210,7,2194,0.606314,45.121793
2023-100646,2023-04-22,1,Vente,233480.43,180,,RUE GAMBETTA,17300,17300,ROCHEFORT,17,17300000E0200,0,1,Maison,103,4,1624,-0.975806,45.90558
2023-100747,2025-03-12,1,Vente,120848.05,2,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000B0909,2,2,Appartement,70,3,,-0.983157,45.957073
2023-100428,2023-08-08,1,Vente,118604.58,118,,RUE GAMBETTA,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000E0639,1,1,Maison,78,3,2188,0.509856,45.113772
2023-100827,2024-09-15,1,Vente,486752.97,61,,ROUTE DE PERIGUEUX,33000,33063,BORDEAUX,33,33063000E0721,1,2,Appartement,90,3,,-0.578808,44.867612
2023-100635,2025-04-15,1,Vente,233440.61,70,,ALLEE DES CHENES,33000,33063,BORDEAUX,33,33063000E0720,0,2,Appartement,39,1,,-0.537452,44.823554
2023-100522,2023-11-16,1,Vente,195889.76,159,,ALLEE DES CHENES,33000,33063,BORDEAUX,33,33063000B0297,1,2,Appartement,57,2,,-0.564553,44.875661
2023-100661,2025-06-14,1,Vente,153725.31,38,,RUE DU PALAIS,17300,17300,ROCHEFORT,17,17300000B0946,0,2,Appartement,49,2,,-0.922031,45.97075
2023-100678,2023-03-12,1,Vente,781789.8,11,,ROUTE DE PERIGUEUX,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000C0515,0,2,Appartement,65,2,,0.515794,45.089354
2023-100552,2023-08-08,1,Vente,148559.55,10,,COURS DE L ARGONNE,33000,33063,BORDEAUX,33,33063000A0142,2,2,Appartement,43,2,,-0.584751,44.8049
2023-100105,2023-05-26,1,Vente,1093683.9,11,,IMPASSE DES VIGNES,33000,33063,BORDEAUX,33,33063000Z0937,1,1,Maison,200,7,1547,-0.535722,44.866021
2023-100111,2023-11-09,1,Vente,572245.72,60,,PLACE COLBERT,33000,33063,BORDEAUX,33,33063000E0993,0,1,Maison,148,6,974,-0.596927,44.876581
2023-100740,2024-06-17,1,Vente,203292.71,25,,RUE GAMBETTA,33000,33063,BORDEAUX,33,33063000D0003,0,2,Appartement,57,2,,-0.602946,44.835877
2023-100284,2023-07-23,1,Vente,696060.43,84,,AVENUE THIERS,33000,33063,BORDEAUX,33,33063000C0887,0,1,Maison,178,7,1579,-0.537894,44.869941
2023-100248,2024-05-12,1,Vente,78587.82,104,,ROUTE DE PERIGUEUX,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000D0998,1,2,Appartement,54,2,,0.58476,45.106259
2023-100576,2024-03-18,1,Vente,142593.3,119,,AVENUE THIERS,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000Z0234,2,2,Appartement,78,3,,0.557576,45.069046
2023-100528,2023-09-25,1,Vente,277481.74,42,,RUE SAINTE CATHERINE,33000,33063,BORDEAUX,33,33063000A0432,0,2,Appartement,46,2,,-0.612313,44.858657
2023-100279,2023-11-26,1,Vente,535718.23,168,,ALLEE DES CHENES,33000,33063,BORDEAUX,33,33063000E0124,0,2,Appartement,93,4,,-0.57095,44.863098
2023-100515,2023-03-11,1,Vente,207574.12,46,,ROUTE DE PERIGUEUX,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000D0469,0,1,Maison,114,4,1184,0.572725,45.079372
2023-100541,2024-05-23,1,Vente,477762.4,164,,COURS DE L ARGONNE,17300,17300,ROCHEFORT,17,17300000Z0757,0,1,Maison,197,7,328,-1.012108,45.975926
2023-100591,2024-09-17,1,Vente,2206162.2,89,,IMPASSE DES VIGNES,33000,33063,BORDEAUX,33,33063000D0933,2,2,Appartement,50,2,,-0.615317,44.840444
2023-100471,2024-12-12,1,Vente,518476.36,12,,ALLEE DES CHENES,33000,33063,BORDEAUX,33,33063000A0504,0,2,Appartement,85,3,,-0.542306,44.862062
2023-100560,2024-11-15,1,Vente,494939.09,115,,AVENUE THIERS,17300,17300,ROCHEFORT,17,17300000E0316,0,1,Maison,158,5,2124,-0.968962,45.901765
2023-100637,2025-05-08,1,Vente,167809.39,142,,ROUTE DE PERIGUEUX,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000A0239,0,1,Maison,92,4,1173,0.553089,45.125031
2023-100509,2024-10-15,1,Vente,322100.42,150,,ROUTE DE PERIGUEUX,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000Z0101,0,1,Maison,190,6,2385,0.603775,45.092456
2023-100106,2024-06-17,1,Vente,88306.67,2,,AVENUE THIERS,17300,17300,ROCHEFORT,17,17300000C0298,0,2,Appartement,35,1,,-0.920563,45.969234
2023-100371,2023-12-04,1,Vente,50100.55,11,,PLACE COLBERT,33000,33063,BORDEAUX,33,33063000E0380,2,2,Appartement,90,4,,-0.534925,44.815867
2023-100870,2023-02-15,1,Vente,514516.68,120,,AVENUE THIERS,33000,33063,BORDEAUX,33,33063000C0131,0,1,Maison,130,6,431,-0.61508,44.852499
2023-100334,2023-03-26,1,Vente,11474.71,144,,RUE DU PALAIS,17300,17300,ROCHEFORT,17,17300000C0126,1,1,Maison,74,3,1644,-0.932049,45.919409
2023-100489,2024-11-22,1,Vente,353784.69,29,,ALLEE DES CHENES,17300,17300,ROCHEFORT,17,17300000E0202,0,1,Maison,174,7,1294,-0.987185,45.9047
2023-100433,2023-08-07,1,Vente,182672.63,17,,ROUTE DE PERIGUEUX,17300,17300,ROCHEFORT,17,17300000A0406,1,2,Appartement,88,3,,-0.953181,45.904568
2023-100237,2025-04-06,1,Vente,192608.38,180,,RUE GAMBETTA,17300,17300,ROCHEFORT,17,17300000E0591,0,2,Appartement,69,3,,-0.963086,45.924686
2023-100847,2025-05-11,1,Vente,161454.66,87,,RUE GAMBETTA,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000Z0959,1,1,Maison,94,4,1971,0.544724,45.115547
2023-100240,2024-04-22,1,Vente,85214.76,74,,RUE SAINTE CATHERINE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000A0230,1,2,Appartement,59,2,,0.583877,45.086064
2023-100260,2023-06-23,1,Vente,769901.14,69,,IMPASSE DES VIGNES,33000,33063,BORDEAUX,33,33063000Z0443,0,1,Maison,174,7,1585,-0.536124,44.813757
2023-100218,2024-10-17,1,Vente,610939.45,151,,COURS DE L ARGONNE,33000,33063,BORDEAUX,33,33063000E0500,0,1,Maison,159,6,620,-0.529582,44.860049
2023-100599,2023-03-27,1,Vente,959515.58,155,,ALLEE DES CHENES,33000,33063,BORDEAUX,33,33063000A0609,2,1,Maison,194,9,1750,-0.582595,44.799245
2023-100874,2023-07-22,1,Vente,484771.09,90,,AVENUE THIERS,33000,33063,BORDEAUX,33,33063000A0978,0,1,Maison,120,5,857,-0.588856,44.803887
2023-100011,2023-02-18,1,Vente,96687.32,130,,ROUTE DE PERIGUEUX,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000Z0125,2,2,Appartement,79,4,,0.575699,45.060742
2023-100123,2024-01-17,1,Vente,56769.02,130,,RUE GAMBETTA,17300,17300,ROCHEFORT,17,17300000A0529,0,2,Appartement,33,2,,-0.987922,45.966377
2023-100092,2023-06-18,1,Vente,93622.33,63,,RUE GAMBETTA,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000A0062,2,2,Appartement,61,2,,0.533196,45.053395
2023-100714,2023-12-10,2,Vente,303890.13,180,,AVENUE THIERS,33000,33063,BORDEAUX,33,33063000C0433,2,2,Appartement,52,2,,-0.622775,44.828776
2023-100173,2024-02-16,1,Vente,185880.33,9,,PLACE COLBERT,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000Z0119,1,2,Appartement,89,3,,0.575241,45.049961
2023-100706,2024-09-19,1,Vente,250378.77,167,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000E0583,1,1,Maison,97,3,2304,-0.985763,45.926405
2023-100087,2023-01-07,1,Vente,115300.65,49,,COURS DE L ARGONNE,17300,17300,ROCHEFORT,17,17300000A0914,1,2,Appartement,49,2,,-0.989273,45.974932
2023-100056,2023-01-10,1,Vente,342493.12,173,,ALLEE DES CHENES,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000E0446,0,1,Maison,195,7,563,0.537695,45.070905
2023-100351,2024-04-11,1,Vente,149394.77,64,,COURS DE L ARGONNE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000C0171,0,1,Maison,94,4,2056,0.524516,45.091033
2023-COR-T22,2023-03-26,1,Vente,314313.22,93,,IMPASSE DES VIGNES,33000,33063,BORDEAUX,33,33063000A0082,0,4,Local industriel. commercial ou assimile,85,4,,-0.533735,44.847483
2023-100055,2024-09-29,1,Vente,224135.91,10,,RUE DU PALAIS,17300,17300,ROCHEFORT,17,17300000Z0532,0,2,Appartement,88,3,,-1.008021,45.936426
2023-100317,2024-09-27,1,Vente,467239.39,115,,COURS DE L ARGONNE,17300,17300,ROCHEFORT,17,17300000D0900,0,1,Maison,195,9,2023,-0.915153,45.912334
2023-100812,2024-11-26,1,Vente,165262.57,23,,RUE DU PALAIS,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000B0771,0,2,Appartement,90,3,,0.514231,45.088899
2023-100606,2023-09-29,1,Vente,125661.31,61,,PLACE COLBERT,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000C0823,0,2,Appartement,95,3,,0.531154,45.118273
2023-100643,2024-10-02,1,Vente,645653.57,116,,RUE GAMBETTA,33000,33063,BORDEAUX,33,33063000A0663,2,1,Maison,108,5,608,-0.556,44.812705
2023-COR-V17,2024-01-12,1,Vente,,151,,COURS DE L ARGONNE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000B0325,2,1,Maison,79,3,2100,0.529501,45.120994
2023-100617,2024-06-01,1,Vente,269910.69,171,,RUE SAINTE CATHERINE,17300,17300,ROCHEFORT,17,17300000C0126,0,2,Appartement,89,4,,-0.997637,45.902785
2023-COR-T8,2023-12-27,1,Vente,767964.05,158,,RUE DU PALAIS,33000,33063,BORDEAUX,33,33063000C0096,2,3,Local industriel. commercial ou assimile,166,7,887,-0.549282,44.85455
2023-100526,2024-08-27,1,Vente,127157.85,56,,COURS DE L ARGONNE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000C0423,1,2,Appartement,60,2,,0.581564,45.066943
2023-100294,2023-03-26,1,Vente,314313.22,93,,IMPASSE DES VIGNES,33000,33063,BORDEAUX,33,33063000A0082,0,2,Appartement,85,4,,-0.533735,44.847483
2023-100048,2024-05-20,1,Vente,376250.39,37,,RUE DU PALAIS,17300,17300,ROCHEFORT,17,17300000B0379,0,1,Maison,172,8,2376,-0.972026,45.94752
2023-100750,2024-07-16,1,Vente,50451.77,6,,ROUTE DE PERIGUEUX,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000A0732,1,2,Appartement,33,1,,0.581067,45.084529
2023-100700,2024-06-29,1,Vente,240342.38,165,,ALLEE DES CHENES,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000C0609,1,1,Maison,122,5,385,0.562743,45.110039
2023-100341,2023-02-13,1,Vente,337159.76,125,,COURS DE L ARGONNE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000A0368,0,1,Maison,186,8,263,0.509325,45.104365
2023-COR-S0,2025-04-12,1,Vente,218864.5,139,,COURS DE L ARGONNE,17300,17300,ROCHEFORT,17,17300000A0836,1,2,Appartement,0,3,,-0.955183,45.960405
2023-100329,2025-02-12,1,Vente,409232.33,127,,PLACE COLBERT,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000A0522,2,1,Maison,200,10,1987,0.572295,45.048146
2023-COR-S21,2025-02-01,1,Vente,231487.8,111,,ROUTE DE PERIGUEUX,17300,17300,ROCHEFORT,17,17300000B0699,0,1,Maison,-12,5,1961,-1.009216,45.902359
2023-COR-T7,2024-10-22,1,Vente,297726.12,119,,RUE GAMBETTA,17300,17300,ROCHEFORT,17,17300000C0543,0,4,Dependance,99,4,1457,-0.997339,45.966292
2023-100126,2025-03-09,1,Vente,776956.07,111,,IMPASSE DES VIGNES,33000,33063,BORDEAUX,33,33063000D0607,2,1,Maison,127,4,1068,-0.582679,44.84927
2023-100456,2023-11-05,1,Vente,150089.69,25,,PLACE COLBERT,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000B0792,1,2,Appartement,80,4,,0.540495,45.087601
2023-COR-XL6,2025-06-01,1,Vente,294939.7,156,,ROUTE DE PERIGUEUX,17300,17300,ROCHEFORT,17,17300000D0708,0,1,Maison,6770,6,2000,-0.927062,45.903217
2023-100578,2024-07-19,1,Vente,220087.27,83,,RUE SAINTE CATHERINE,17300,17300,ROCHEFORT,17,17300000Z0796,1,1,Maison,73,3,1452,-0.975074,45.955016
2023-100187,2025-05-21,1,Vente,198629.52,104,,IMPASSE DES VIGNES,33000,33063,BORDEAUX,33,33063000A0229,1,2,Appartement,39,2,,-0.555244,44.868015
2023-100082,2024-06-19,1,Vente,61952.85,119,,RUE SAINTE CATHERINE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000B0356,0,2,Appartement,46,2,,0.60075,45.110204
2023-100867,2023-06-12,1,Vente,266369.37,93,,PLACE COLBERT,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000Z0518,0,1,Maison,135,5,820,0.524866,45.066003
2023-100446,2025-02-25,1,Vente,423192.4,70,,RUE GAMBETTA,33000,33063,BORDEAUX,33,33063000Z0612,0,2,Appartement,71,3,,-0.561909,44.857776
2023-100062,2023-08-20,1,Vente,288665.3,153,,RUE SAINTE CATHERINE,33000,33063,BORDEAUX,33,33063000B0912,0,2,Appartement,83,3,,-0.626468,44.833213
2023-100049,2024-10-30,1,Vente,217316.84,175,,AVENUE THIERS,17300,17300,ROCHEFORT,17,17300000C0932,0,2,Appartement,76,3,,-0.923821,45.941378
2023-100565,2024-06-27,1,Vente,502133.56,110,,PLACE COLBERT,17300,17300,ROCHEFORT,17,17300000A0761,0,1,Maison,190,6,626,-0.927123,45.915744
2023-100837,2025-02-22,1,Vente,264720.2,8,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000D0127,0,2,Appartement,87,3,,-0.944002,45.967797
2023-100017,2023-08-05,1,Vente,115721.95,72,,RUE SAINTE CATHERINE,33000,33063,BORDEAUX,33,33063000B0927,0,2,Appartement,31,1,,-0.624025,44.876039
2023-COR-V16,2023-08-06,1,Vente,,149,,RUE SAINTE CATHERINE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000D0294,2,1,Maison,174,6,1649,0.527796,45.049056
2023-100330,2024-11-08,1,Vente,138973.81,169,,COURS DE L ARGONNE,33000,33063,BORDEAUX,33,33063000Z0982,0,2,Appartement,35,1,,-0.583369,44.823838
2023-100442,2023-05-03,1,Vente,15822.38,53,,ROUTE DE PERIGUEUX,17300,17300,ROCHEFORT,17,17300000Z0027,0,1,Maison,104,4,1681,-0.946566,45.966201
2023-100258,2023-02-11,1,Vente,862722.27,36,,RUE SAINTE CATHERINE,33000,33063,BORDEAUX,33,33063000E0930,1,1,Maison,210,10,1042,-0.628272,44.804606
2023-100714,2023-12-10,1,Vente,303890.13,180,,AVENUE THIERS,33000,33063,BORDEAUX,33,33063000C0433,2,2,Appartement,52,2,,-0.622775,44.828776
2023-COR-S7,2023-01-07,1,Vente,115300.65,49,,COURS DE L ARGONNE,17300,17300,ROCHEFORT,17,17300000A0914,1,2,Appartement,,2,,-0.989273,45.974932
2023-100259,2023-12-27,1,Vente,505777.88,119,,RUE SAINTE CATHERINE,33000,33063,BORDEAUX,33,33063000Z0827,0,1,Maison,140,7,2293,-0.536852,44.877707
2023-100169,2024-08-05,1,Vente,107938.81,156,,RUE DU PALAIS,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000D0385,0,2,Appartement,64,2,,0.574049,45.048771
2023-100724,2023-11-20,1,Vente,328274.37,8,,ROUTE DE PERIGUEUX,17300,17300,ROCHEFORT,17,17300000C0313,0,1,Maison,116,5,2257,-0.937149,45.937714
2023-100365,2025-05-15,1,Vente,356944.59,71,,IMPASSE DES VIGNES,33000,33063,BORDEAUX,33,33063000D0988,0,1,Maison,105,4,425,-0.564186,44.837085
2023-100378,2023-11-05,1,Vente,346416.24,179,,RUE GAMBETTA,33000,33063,BORDEAUX,33,33063000D0700,0,2,Appartement,59,3,,-0.611432,44.822096
2023-100749,2023-07-15,1,Vente,149260.41,66,,COURS DE L ARGONNE,17300,17300,ROCHEFORT,17,17300000A0091,2,2,Appartement,72,3,,-0.969036,45.939986
2023-100008,2023-10-09,1,Vente,110414.51,132,,COURS DE L ARGONNE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000D0638,0,2,Appartement,55,2,,0.57498,45.065566
2023-100084,2023-08-03,1,Vente,366317.37,75,,RUE GAMBETTA,33000,33063,BORDEAUX,33,33063000B0947,0,2,Appartement,93,3,,-0.627667,44.866231
2023-100467,2023-09-07,1,Vente,616567.27,23,,COURS DE L ARGONNE,33000,33063,BORDEAUX,33,33063000C0655,0,1,Maison,157,7,2357,-0.602424,44.861029
2023-100067,2024-01-30,1,Vente,292429.21,170,,ROUTE DE PERIGUEUX,33000,33063,BORDEAUX,33,33063000B0229,0,2,Appartement,70,3,,-0.609503,44.834487
2023-100759,2024-09-15,1,Vente,236349.22,167,,IMPASSE DES VIGNES,33000,33063,BORDEAUX,33,33063000E0338,2,2,Appartement,53,2,,-0.543499,44.813642
2023-100554,2024-02-05,1,Vente,175889.76,59,,PLACE COLBERT,17300,17300,ROCHEFORT,17,17300000C0716,2,2,Appartement,64,2,,-0.944082,45.939332
2023-100634,2023-07-21,1,Vente,160935.63,177,,RUE GAMBETTA,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000B0314,0,1,Maison,112,4,1852,0.586346,45.125908
2023-100546,2023-11-28,1,Vente,211333.93,164,,ALLEE DES CHENES,17300,17300,ROCHEFORT,17,17300000C0011,0,2,Appartement,73,3,,-0.920699,45.970737
2023-100868,2023-06-20,1,Vente,486020.38,164,,COURS DE L ARGONNE,17300,17300,ROCHEFORT,17,17300000D0159,1,1,Maison,169,5,1709,-0.921871,45.90167
2023-100719,2023-04-20,1,Vente,170526.18,30,,AVENUE THIERS,17300,17300,ROCHEFORT,17,17300000E0131,0,2,Appartement,60,3,,-0.975216,45.931858
2023-100204,2025-04-12,1,Vente,218864.5,139,,COURS DE L ARGONNE,17300,17300,ROCHEFORT,17,17300000A0836,1,2,Appartement,84,3,,-0.955183,45.960405
2023-100274,2023-06-12,1,Vente,626020.19,45,,ROUTE DE PERIGUEUX,33000,33063,BORDEAUX,33,33063000E0172,1,1,Maison,178,7,2281,-0.564536,44.849869
2023-100817,2023-04-14,1,Vente,375586.0,180,,RUE SAINTE CATHERINE,33000,33063,BORDEAUX,33,33063000B0937,2,1,Maison,76,3,1245,-0.612073,44.823041
2023-100524,2025-05-10,1,Vente,205003.35,32,,RUE DU PALAIS,33000,33063,BORDEAUX,33,33063000E0618,0,2,Appartement,37,1,,-0.529576,44.862471
2023-100018,2024-06-27,1,Vente,296109.47,165,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000Z0144,0,1,Maison,123,5,1555,-0.952327,45.9215
2023-100405,2023-06-03,1,Vente,118708.86,86,,IMPASSE DES VIGNES,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000A0404,0,2,Appartement,54,3,,0.60455,45.111932
2023-100657,2023-10-31,1,Vente,318891.97,34,,RUE SAINTE CATHERINE,17300,17300,ROCHEFORT,17,17300000C0520,0,1,Maison,109,4,1080,-1.007129,45.926294
2023-COR-T25,2023-09-17,1,Vente,265378.89,150,,PLACE COLBERT,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000Z0313,1,3,Local industriel. commercial ou assimile,151,5,123,0.588667,45.082379
2023-100818,2023-03-22,1,Vente,408402.07,6,,ROUTE DE PERIGUEUX,33000,33063,BORDEAUX,33,33063000C0123,0,1,Maison,115,5,643,-0.599013,44.85892
2023-100357,2024-09-01,1,Vente,122661.35,110,,PLACE COLBERT,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000Z0183,0,2,Appartement,91,4,,0.569836,45.094019
2023-100584,2023-01-25,1,Vente,248016.12,16,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000Z0095,1,1,Maison,98,3,1035,-0.947572,45.916056
2023-100675,2023-10-26,1,Vente,233284.7,105,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000A0910,0,1,Maison,86,4,1205,-0.9207,45.934047
2023-100098,2023-03-17,1,Vente,126001.09,132,,COURS DE L ARGONNE,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000Z0536,1,2,Appartement,58,3,,0.564405,45.047689
2023-100443,2025-05-27,1,Vente,956844.27,95,,RUE SAINTE CATHERINE,33000,33063,BORDEAUX,33,33063000Z0970,1,1,Maison,201,10,331,-0.539368,44.868722
2023-100028,2023-04-24,1,Vente,22495.18,177,,COURS DE L ARGONNE,17300,17300,ROCHEFORT,17,17300000A0575,2,1,Maison,166,6,181,-0.991387,45.920294
2023-100207,2023-08-31,1,Vente,127086.95,163,,RUE DU PALAIS,33000,33063,BORDEAUX,33,33063000C0135,0,2,Appartement,28,1,,-0.591935,44.8563
2023-100100,2023-04-05,1,Vente,135076.6,76,,RUE DU PALAIS,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000D0710,2,2,Appartement,74,3,,0.555523,45.111981
2023-100694,2025-01-17,1,Vente,225633.02,109,,AVENUE THIERS,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000A0838,0,1,Maison,172,6,1948,0.60584,45.084266
2023-100839,2023-01-01,1,Vente,470252.89,148,,RUE GAMBETTA,17300,17300,ROCHEFORT,17,17300000A0723,2,1,Maison,165,7,228,-0.958415,45.917706
2023-100605,2023-06-10,1,Vente,101005.9,82,,IMPASSE DES VIGNES,17300,17300,ROCHEFORT,17,17300000Z0908,2,2,Appartement,39,1,,-0.973977,45.919315
2023-100757,2024-05-07,1,Vente,116536.01,146,,ROUTE DE PERIGUEUX,17300,17300,ROCHEFORT,17,17300000C0642,0,2,Appartement,46,1,,-0.955107,45.904229
2023-100793,2023-07-26,1,Vente,225123.59,140,,COURS DE L ARGONNE,33000,33063,BORDEAUX,33,33063000D0425,0,2,Appartement,44,1,,-0.565584,44.844842
2023-100665,2024-01-15,1,Vente,169466.57,17,,COURS DE L ARGONNE,33000,33063,BORDEAUX,33,33063000A0562,0,2,Appartement,49,2,,-0.609295,44.876301
2023-100255,2023-12-08,1,Vente,492964.94,150,,RUE DU PALAIS,33000,33063,BORDEAUX,33,33063000Z0132,0,2,Appartement,95,3,,-0.553184,44.872789
2023-100780,2023-10-09,1,Vente,125188.3,130,,RUE DU PALAIS,17300,17300,ROCHEFORT,17,17300000B0926,0,2,Appartement,58,2,,-1.000211,45.960799
2023-100516,2023-07-02,1,Vente,80169.94,92,,AVENUE THIERS,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000E0726,0,2,Appartement,47,2,,0.542528,45.050355
2023-100151,2024-01-24,1,Vente,132725.35,143,,ALLEE DES CHENES,17300,17300,ROCHEFORT,17,17300000C0146,1,2,Appartement,43,1,,-0.927258,45.93484
2023-100622,2025-05-21,1,Vente,403916.68,133,,COURS DE L ARGONNE,17300,17300,ROCHEFORT,17,17300000C0924,2,1,Maison,138,6,1718,-0.968593,45.910086
2023-100058,2023-08-18,2,Vente,100674.3,43,,AVENUE THIERS,24430,24016,ANNESSE-ET-BEAULIEU,24,24016000B0081,0,2,Appartement,58,3,,0.578519,45.059228
